date,day_start_ts_s,price_open_usd,price_high_usd,price_low_usd,price_close_usd,market_cap_close_usd,volume_24h_close_usd
2025-06-17,1750118400.0,2548.097552847306,2606.6894245707613,2464.1462540284333,2502.74267900121,302132634087.90234,27958185244.331596
2025-06-18,1750204800.0,2512.628915043993,2538.147497112401,2479.00437349513,2526.7690101461976,305000243130.67194,19371311149.988995
2025-06-19,1750291200.0,2523.1785975058187,2539.3035075627117,2488.632454953597,2526.371891286643,305220410323.2718,10576245119.339363
2025-06-20,1750377600.0,2521.7539921461434,2554.0443705191096,2391.2770451833007,2391.2770451833007,288675074629.43933,19818832265.549515
2025-06-21,1750464000.0,2406.194491283201,2444.511492167893,2288.3066301725576,2288.320884564172,276226598113.12286,13961063416.66891
2025-06-22,1750550400.0,2294.00752163455,2297.8911061749895,2177.4663339297676,2229.7706524865744,268851738853.45917,26489704309.13756
2025-06-23,1750636800.0,2227.1865038360775,2406.7834866424587,2217.7407372722205,2406.7834866424587,289581019717.6807,25193178162.783607
2025-06-24,1750723200.0,2419.4157387507407,2473.8362821636,2394.904054312656,2442.0798745533075,294702439914.32275,19670087510.426228
2025-06-25,1750809600.0,2447.328779483669,2461.155398803223,2408.2891002220595,2417.0411538231915,291794692658.3053,14602702017.782887
2025-06-26,1750896000.0,2417.2267855277296,2496.832401403541,2413.3884830544184,2415.1304364183457,291661498537.22345,16493688580.940351
2025-06-27,1750982400.0,2415.797053365547,2459.9648293147884,2393.7413011092253,2423.9114072998177,292640888121.1081,13374297021.394861
2025-06-28,1751068800.0,2423.2313819057767,2445.344307871937,2416.9669506889236,2441.5400257773376,294739333678.14105,6018006995.687472
2025-06-29,1751155200.0,2436.759750874758,2502.2631847377525,2429.1634439807954,2502.2631847377525,302123121265.3792,5916267887.033137
2025-06-30,1751241600.0,2502.26557948149,2518.5891946415213,2446.9068625829377,2492.712273497041,300894463248.3487,16700895980.552605
2025-07-01,1751328000.0,2487.4682091643926,2493.044906935116,2406.2163252427235,2406.2163252427235,290625095856.84973,13750062896.674755
2025-07-02,1751414400.0,2405.5757088058185,2597.702754875498,2399.6964409740626,2596.307459749084,313515866050.9462,21046242472.193737
2025-07-03,1751500800.0,2572.326021629399,2627.754641590632,2562.565702093163,2594.6473459551503,313159845767.0199,20153451218.205265
2025-07-04,1751587200.0,2590.132231590221,2591.3731549611393,2482.3951684332765,2520.5907690275044,304207175746.1432,13570572365.063318
2025-07-05,1751673600.0,2508.234982925317,2526.792944257956,2494.439661798472,2519.409495169567,304030096790.48315,6953030809.88908
2025-07-06,1751760000.0,2516.8246692515277,2587.7420690577637,2509.8897344193315,2582.864902569778,311820676264.0204,9484652350.847761
2025-07-07,1751846400.0,2570.8193975803088,2580.8267277973023,2524.392103132527,2536.008222974441,306081074002.43896,16044927690.122353
2025-07-08,1751932800.0,2542.5085418455556,2622.7767837857095,2528.4417350874924,2609.997219511837,315087220598.9844,15694760594.705992
2025-07-09,1752019200.0,2615.521713139152,2776.783490052491,2592.9402537055917,2776.783490052491,334619392383.9999,26280299694.68198
2025-07-10,1752105600.0,2769.8461611314747,2979.8873292200474,2760.601968408158,2972.4296530880947,358862920387.0598,37784499755.26057
2025-07-11,1752192000.0,2952.2816964521853,3021.4816390594087,2932.6521093985307,2949.4584545678536,355890286283.89014,43068435805.76376
2025-07-12,1752278400.0,2958.8514450990992,2976.6456369036705,2912.956320971995,2936.9296889773636,354479792014.3299,17632201637.609657
2025-07-13,1752364800.0,2942.794234990203,2995.8968422946973,2942.794234990203,2963.9618334341867,357847275240.7289,18186080314.722157
2025-07-14,1752451200.0,2973.6756203455147,3066.81432262693,2973.6756203455147,3015.196569922927,364140667852.1215,41025074706.81296
2025-07-15,1752537600.0,3013.0693411322845,3093.0902698069026,2949.4029171095617,3090.9952283639072,372595851374.0429,40528345293.726265
2025-07-16,1752624000.0,3136.7886392559913,3385.3921666620363,3112.9395093300895,3362.4616017826957,405598207959.8169,56959358491.17472
2025-07-17,1752710400.0,3369.9529794891137,3471.659221627896,3329.7548042768044,3470.2093245919696,419099240168.47266,53098974598.01444
2025-07-18,1752796800.0,3481.8828152374017,3669.847483106436,3481.8828152374017,3542.0150145168823,427628222227.83716,69813395206.47852
2025-07-19,1752883200.0,3548.4201844098584,3591.0958618101226,3535.4273406044167,3580.8141320854875,432423332741.8091,29050492833.70614
2025-07-20,1752969600.0,3594.2415403180626,3811.3440728713513,3593.2716392294215,3751.095967774217,452893404006.36957,44422625931.577
2025-07-21,1753056000.0,3760.7214625129263,3844.649079097578,3721.628316826367,3768.2224739894236,454926477122.36914,50722943754.828354
2025-07-22,1753142400.0,3764.7889876542345,3792.3844895636516,3648.5232704613086,3721.83902937668,449261180037.57965,49524816486.0149
2025-07-23,1753228800.0,3745.225765859942,3745.225765859942,3572.602580543407,3616.0019051964723,436349064619.2605,48350731013.011635
2025-07-24,1753315200.0,3630.053531480921,3743.3614150370167,3530.3032107775402,3722.384156402879,449900260939.9314,46826685798.19495
2025-07-25,1753401600.0,3701.450643553188,3721.589483836682,3593.688680504773,3720.4871698973434,449235658214.868,49161413534.53465
